SAND_name,              level,  contains,  collec   
ENVISAT-MERIS,          1,      ,          ENVISAT    
SENTINEL-1-SAR,         1,      ,          SENTINEL-1    
SENTINEL-1-SAR-RTC,     1,      ,          SENTINEL-1-RTC
SENTINEL-2-MSI,         1,      MSIL1,     SENTINEL-2    
SENTINEL-3-OLCI-FR,     1,      OL_1 FR,   SENTINEL-3    
SENTINEL-3-OLCI-RR,     1,      OL_1 RR,   SENTINEL-3    
SENTINEL-3-SLSTR,       1,      SL_1,      SENTINEL-3    
SENTINEL-3-SRAL,        1,      SR_1,      SENTINEL-3    
SENTINEL-5P-TROPOMI,    1,      TROPOMI,   SENTINEL-5P   
SENTINEL-6-HR,          1,      ,          SENTINEL-6    
SENTINEL-6-LR,          1,      ,          SENTINEL-6    
SMOS-MIRAS,             1,      ,          SMOS          
TERRA-MODIS-HR,         1,      ,          TERRAAQUA     
TERRA-MODIS-LR,         1,      ,          TERRAAQUA     
AQUA-MODIS-HR,          1,      ,          TERRAAQUA     
AQUA-MODIS-LR,          1,      ,          TERRAAQUA     
SENTINEL-2-MSI,         2,      MSIL2,     SENTINEL-2    
SENTINEL-3-OLCI-FR,     2,      OL_2 FR,   SENTINEL-3    
SENTINEL-3-OLCI-RR,     2,      OL_2 RR,   SENTINEL-3   
